0	1	0	0
1	0	0	0
2	0	0	1
3	-1	0	1
4	-1	1	1
5	-1	0	1
6	-1	0	2
7	0	0	2
8	0	-1	2
9	0	-1	1
10	0	0	1
11	0	0	0
12	0	0	1
13	1	0	1
14	0	0	1
15	0	-1	1
16	-1	-1	1
17	-1	-2	1
18	0	-2	1
19	0	-3	1
20	1	-3	1
21	1	-3	2
22	0	-3	2
23	-1	-3	2
24	-1	-2	2
25	-1	-2	3
26	-1	-1	3
27	-1	0	3
28	-2	0	3
29	-3	0	3
30	-3	1	3
31	-3	0	3
32	-3	-1	3
33	-3	-2	3
34	-2	-2	3
35	-1	-2	3
36	-1	-2	2
37	-1	-2	3
38	-1	-3	3
39	0	-3	3
40	0	-3	4
41	0	-2	4
42	0	-3	4
43	-1	-3	4
44	-1	-3	5
45	0	-3	5
46	1	-3	5
47	1	-3	6
48	1	-4	6
49	1	-4	5
50	2	-4	5
51	2	-3	5
52	2	-3	6
53	2	-3	5
54	1	-3	5
55	1	-3	4
56	1	-3	3
57	1	-3	2
58	1	-3	3
59	2	-3	3
60	3	-3	3
61	4	-3	3
62	4	-3	4
63	5	-3	4
64	5	-3	3
65	5	-2	3
66	4	-2	3
67	3	-2	3
68	3	-3	3
69	2	-3	3
70	2	-2	3
71	3	-2	3
72	2	-2	3
73	3	-2	3
74	4	-2	3
75	4	-3	3
76	3	-3	3
77	4	-3	3
78	4	-3	2
79	5	-3	2
80	4	-3	2
81	4	-3	3
82	4	-3	4
83	4	-4	4
84	3	-4	4
85	4	-4	4
86	4	-4	5
87	5	-4	5
88	5	-3	5
89	4	-3	5
90	4	-3	4
91	4	-2	4
92	4	-1	4
93	5	-1	4
94	5	-1	3
95	5	-2	3
96	5	-3	3
97	5	-3	2
98	5	-3	3
99	5	-3	2
