21	40	2	61	63	1	7	69	34	27	51	8	37	30	52	62	22	25	32	41	36	67	50	56	11	15	39	54	59	47	9	29	19	24	3	4	0	65	55	42	5	31	48	35	68	18	16	58	28	12	44	53	23	60	38	46	20	17	66	49	45	43	14	26	33	64	13	10	57	6	
25	6	29	3	61	10	52	17	24	38	39	34	19	42	21	40	22	50	65	20	41	47	57	15	32	5	9	44	53	1	60	23	43	2	68	18	55	26	0	59	54	11	14	45	48	63	7	37	8	56	4	51	33	12	13	66	16	69	62	31	27	58	46	30	49	67	36	35	28	64	
48	44	8	64	18	26	57	50	11	39	23	58	33	4	60	45	52	55	35	10	31	36	5	37	47	62	67	30	22	49	28	19	56	61	9	25	63	29	6	21	42	17	12	15	40	53	2	32	41	14	68	38	0	16	13	54	27	1	65	69	7	24	34	3	66	20	43	46	51	59	
66	53	33	1	60	14	55	29	32	10	9	68	52	19	45	41	63	65	28	12	38	56	34	21	67	40	26	7	49	11	57	58	3	51	27	20	22	48	69	47	64	15	6	4	62	54	61	17	31	35	30	46	8	16	44	13	42	0	18	59	25	43	23	37	24	39	2	36	50	5	
65	34	53	38	55	17	16	3	7	41	67	9	33	68	5	61	59	50	40	45	47	10	12	60	24	66	4	20	19	69	64	21	36	54	43	58	63	48	44	27	52	6	23	49	8	35	25	26	2	32	62	29	0	46	11	28	30	13	18	42	56	57	1	37	22	15	31	14	39	51	
38	44	17	5	55	60	36	19	0	16	8	35	47	28	43	20	59	14	24	68	22	42	37	33	21	11	30	32	45	54	27	13	63	66	65	2	50	56	6	40	7	3	51	10	23	62	67	9	39	25	26	49	31	64	15	12	46	29	57	18	58	41	61	4	69	34	48	53	1	52	
37	16	64	40	20	60	12	35	50	58	38	54	8	47	44	26	25	13	36	30	10	45	6	31	14	66	33	27	22	46	49	9	52	4	0	17	48	24	63	34	19	11	43	21	41	28	61	69	7	1	32	57	53	68	62	55	67	59	42	29	18	5	2	39	65	15	56	23	3	51	
51	46	42	45	12	10	8	56	22	29	9	65	34	48	2	39	32	67	62	40	5	24	50	26	30	16	13	25	4	15	60	55	23	0	64	20	3	11	59	31	58	18	21	27	36	35	19	28	43	68	63	47	1	37	53	41	57	33	6	7	61	38	49	52	14	54	17	44	69	66	
56	47	37	36	39	61	17	15	54	55	50	46	16	26	23	22	64	27	29	45	60	0	66	14	49	12	67	52	33	9	48	58	25	68	69	43	30	19	24	13	53	4	59	10	8	32	20	62	1	44	6	3	28	65	38	63	40	7	51	34	21	42	5	31	18	35	2	57	41	11	
38	49	16	36	35	24	51	7	43	54	50	31	61	47	15	64	28	17	26	13	40	6	21	52	14	60	11	3	57	23	5	4	42	45	27	12	44	59	69	9	56	37	67	66	19	20	41	25	1	32	18	8	10	63	55	39	34	62	58	46	2	33	22	29	65	53	30	0	68	48	
14	61	41	44	17	22	3	20	13	7	29	54	50	43	11	33	59	55	21	58	12	69	6	0	42	48	53	47	24	34	15	8	60	16	62	40	19	5	52	49	10	31	32	9	18	63	35	67	66	68	26	38	51	36	23	27	56	1	57	65	30	45	37	64	39	25	4	46	2	28	
25	65	46	7	12	62	57	3	26	19	53	30	28	60	8	22	27	43	4	58	2	13	11	18	21	61	17	47	6	56	29	31	69	45	41	49	55	20	37	63	42	24	1	59	48	39	5	66	68	54	44	38	33	35	64	16	52	10	40	67	32	14	34	36	51	23	0	15	50	9	
39	15	20	41	52	36	50	46	60	66	28	33	48	57	8	27	25	0	45	7	18	59	68	19	63	6	35	54	22	9	38	4	12	69	5	49	21	64	67	10	51	2	56	24	26	29	40	1	43	47	3	13	32	14	34	58	16	65	17	53	55	23	61	30	31	37	44	62	42	11	
46	7	60	20	4	59	10	22	15	64	23	28	62	2	50	47	21	29	38	54	57	19	0	58	66	14	41	11	35	68	56	69	39	34	63	67	65	3	49	18	16	32	45	31	44	26	5	52	13	42	51	6	61	43	12	17	25	33	40	24	37	1	55	30	9	36	8	27	53	48	
