100	88.6217	0.995
99	83.2174	0.9945
98.01	87.6074	0.9945
97.0299	93.311	0.993
96.0596	90.146	0.9915
95.099	88.5333	0.992
94.148	81.3197	0.993
93.2065	85.0994	0.991
92.2745	77.9007	0.9925
91.3517	81.2906	0.9955
90.4382	94.7672	0.992
89.5338	94.4376	0.994
88.6385	89.4901	0.9945
87.7521	85.6343	0.9935
86.8746	91.2182	0.9945
86.0058	98.0465	0.9915
85.1458	89.442	0.992
84.2943	97.3888	0.9905
83.4514	86.1139	0.9915
82.6169	92.8074	0.9925
81.7907	82.2344	0.9945
80.9728	85.1525	0.9935
80.1631	87.949	0.9955
79.3614	88.8466	0.992
78.5678	79.271	0.989
77.7821	81.9038	0.991
77.0043	80.1555	0.9875
76.2343	88.2695	0.9955
75.4719	85.7037	0.988
74.7172	93.0539	0.994
73.97	77.669	0.9905
73.2303	91.5242	0.9935
72.498	91.983	0.9915
71.7731	86.6106	0.994
71.0553	88.9901	0.9935
70.3448	93.8015	0.995
69.6413	87.9665	0.995
68.9449	96.5344	0.994
68.2555	86.6169	0.9905
67.5729	80.0595	0.99
66.8972	82.0896	0.994
66.2282	90.27	0.9935
65.5659	96.9045	0.989
64.9103	93.1857	0.987
64.2612	88.8808	0.9895
63.6185	82.1818	0.99
62.9824	91.3542	0.988
62.3525	79.8627	0.987
61.729	86.9937	0.985
61.1117	82.6771	0.991
60.5006	89.3494	0.994
59.8956	81.5224	0.99
59.2966	82.65	0.989
58.7037	91.0146	0.992
58.1166	83.6362	0.986
57.5355	89.4215	0.9925
56.9601	85.4824	0.9895
56.3905	83.214	0.99
55.8266	86.1757	0.991
55.2683	94.235	0.991
54.7157	84.8912	0.9835
54.1685	97.8848	0.99
53.6268	90.5987	0.9865
53.0906	84.9549	0.9885
52.5596	85.7111	0.99
52.0341	76.4036	0.991
51.5137	88.2984	0.9895
50.9986	91.7689	0.989
50.4886	81.5539	0.988
49.9837	84.4791	0.987
49.4839	87.9937	0.9895
48.989	86.0671	0.9875
48.4991	85.9818	0.99
48.0141	90.8613	0.9855
47.534	74.9883	0.9855
47.0587	89.0699	0.9845
46.5881	85.2913	0.9885
46.1222	87.7353	0.985
45.661	88.364	0.9845
45.2044	91.0113	0.984
44.7523	79.4755	0.9865
44.3048	84.6986	0.987
43.8618	81.58	0.9845
43.4231	94.4233	0.983
42.9889	93.0523	0.99
42.559	95.9513	0.986
